BushBlockSilver,VerticalTubeStoneBlock,,,,,,,,,,,,,BushBlockSilver,VerticalTubeStoneBlock
StockBlockStone,StockBlockStone,,,Zeela,,,,StockBlockStone,,,,,,StockBlockStone,StockBlockStone
VerticalTubeStoneBlock,BushBlockSilver,,,StockBlockStone,,,,,,,,,,VerticalTubeStoneBlock,BushBlockSilver
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,,,,,,,,,StockBlockStone,,,,StockBlockStone,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,StockBlockStone,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,,,,,,,,Zeela,,,,,StockBlockStone,StockBlockStone
BushBlockSilver,VerticalTubeStoneBlock,,,,,,,,StockBlockStone,,,,,BushBlockSilver,VerticalTubeStoneBlock
OrangeDoorBlock,RedDoorTopRight,,,,,,,,,,,,,StockBlockStone,StockBlockStone
OrangeDoorBlock,RedDoorMiddleRight,,,,,,,,,,,,,VerticalTubeStoneBlock,BushBlockSilver
OrangeDoorBlock,RedDoorBottomRight,,,,,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,StockBlockStone,,,,StockBlockStone,,,,,,,,StockBlockStone,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,,,StockBlockStone,,VerticalTubeStoneBlock,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,,,,,,,,,,,,,StockBlockStone,StockBlockStone
BushBlockSilver,VerticalTubeStoneBlock,,,Zeela,,,,StockBlockStone,,,,,,RedDoorTopLeft,OrangeDoorBlock
StockBlockStone,StockBlockStone,,,StockBlockStone,,,,,,,,,,RedDoorMiddleLeft,OrangeDoorBlock
VerticalTubeStoneBlock,BushBlockSilver,,,,,,,,,,,,,RedDoorBottomLeft,OrangeDoorBlock
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,StockBlockStone,StockBlockStone,StockBlockStone,StockBlockStone,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,,,,,,,,,,,,StockBlockStone,StockBlockStone,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,,,,StockBlockStone,VerticalTubeStoneBlock,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
VerticalTubeStoneBlock,BushBlockSilver,,,,,,,,,StockBlockStone,,,,VerticalTubeStoneBlock,BushBlockSilver
StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone
BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone
,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
